,School_Name,Address,School_Type,Accessible
206,HANSON PARK,5411 W FULLERTON AVE,ES,Usable
207,HARLAN HS,9652 S MICHIGAN AVE,HS,Usable
208,HARPER HS,6520 S WOOD ST,HS,First Floor Usable
209,HARTE,1556 E 56TH ST,ES,Not Accessible
210,HARVARD,7525 S HARVARD AVE,ES,Usable
211,HAUGAN,4540 N HAMLIN AVE,ES,First Floor Usable
212,HAWTHORNE,3319 N CLIFTON AVE,ES,Not Accessible
213,HAY,1018 N LARAMIE AVE,ES,First Floor Usable
214,HAYT,1518 W GRANVILLE AVE,ES,Usable
215,HEALY,3010 S PARNELL AVE,ES,Not Accessible
216,HEARST,4640 S LAMON AVE,ES,Usable
217,HEDGES,4747 S WINCHESTER AVE,ES,Not Accessible
218,HEFFERAN,4409 W WILCOX ST,ES,Usable
219,HENDERSON,5650 S WOLCOTT AVE,ES,Usable
220,HENDRICKS,4316 S PRINCETON AVE,ES,Usable
221,HENRY,4250 N ST LOUIS AVE,ES,Not Accessible
222,HERNANDEZ,3510 W 55TH ST,ES,Usable
223,HERZL,3711 W DOUGLAS BLVD,ES,Usable
224,HIBBARD,3244 W AINSLIE ST,ES,Not Accessible
225,HIGGINS,11710 S MORGAN ST,ES,Not Accessible
226,HIRSCH HS,7740 S INGLESIDE AVE,HS,Not Accessible
227,HITCH,5625 N MCVICKER AVE,ES,Usable
228,HOLDEN,1104 W 31ST ST,ES,Not Accessible
229,HOLMES,955 W GARFIELD BLVD,ES,Usable
230,HOPE HS,5515 S LOWE AVE,HS,Usable
231,HOPE INSTITUTE,1628 W WASHINGTON BLVD,ES,Usable
232,HOWE,720 N LOREL AVE,ES,Usable
233,HOYNE,8905 S CRANDON AVE,ES,Not Accessible
234,HUBBARD HS,6200 S HAMLIN AVE,HS,First Floor Usable
235,HUGHES C,4247 W 15TH ST,ES,Not Accessible
236,HUGHES L,240 W 104TH ST,ES,Usable
237,HURLEY,3849 W 69TH PL,ES,Not Accessible
238,HYDE PARK HS,6220 S STONY ISLAND AVE,HS,Usable
239,INTER-AMERICAN,851 W WAVELAND AVE,ES,First Floor Usable
240,IRVING,749 S OAKLEY BLVD,ES,Usable
241,JACKSON A,1340 W HARRISON ST,ES,Usable
242,JACKSON M,917 W 88TH ST,ES,Usable
243,JAHN,3149 N WOLCOTT AVE,ES,Not Accessible
244,JAMIESON,5650 N MOZART ST,ES,Usable
245,JENNER,1119 N CLEVELAND AVE,ES,Usable
246,JENSEN,3030 W HARRISON ST,ES,Not Accessible
247,JOHNSON,1420 S ALBANY AVE,ES,Not Accessible
248,JONES HS,700 S STATE ST,HS,Usable
249,JOPLIN,7931 S HONORE ST,ES,Not Accessible
250,JORDAN,7414 N WOLCOTT AVE,ES,Usable
251,JUAREZ HS,1450 W CERMAK RD STE 1510,HS,Usable
252,JULIAN HS,10330 S ELIZABETH ST,HS,Usable
253,JUNGMAN,1746 S MILLER ST,ES,Usable
254,KANOON,2233 S KEDZIE AVE,ES,Usable
255,KELLER,3020 W 108TH ST,ES,Usable
256,KELLMAN,3030 W ARTHINGTON ST,ES,Usable
257,KELLOGG,9241 S LEAVITT ST,ES,Not Accessible
258,KELLY HS,4136 S CALIFORNIA AVE,HS,Usable
259,KELVYN PARK HS,4343 W WRIGHTWOOD AVE,HS,Usable
260,KENNEDY HS,6325 W 56TH ST,ES/HS,Usable
261,KENWOOD HS,5015 S BLACKSTONE AVE,HS,Usable
262,KERSHAW,6450 S LOWE AVE,ES,First Floor Usable
263,KILMER,6700 N GREENVIEW AVE,ES,First Floor Usable
264,KING ES,644 W 71ST ST,ES,Not Accessible
265,KING HS,4445 S DREXEL BLVD,HS,First Floor Usable
266,KIPLING,9351 S LOWE AVE,ES,Not Accessible
267,KIPP CHICAGO - ASCEND PRIMARY,1440 S Christiana AVENUE,ES,Not Accessible
268,KOZMINSKI,936 E 54TH ST,ES,Not Accessible
