,School_ID,Short_Name,School_Type,Primary_Category
170,"610,559",SHIELDS MIDDLE,Neighborhood,MS
171,"400,144",YCCS - WEST,Charter,HS
172,"609,873",CROWN,Neighborhood,ES
173,"400,071",PROVIDENCE ENGLEWOOD,Charter,ES
174,"610,238",BOND,Neighborhood,ES
175,"610,368",HUGHES L,Neighborhood,ES
176,"609,978",SMITH,Neighborhood,ES
177,"610,081",SHERIDAN,Magnet,ES
178,"609,928",FULLER,Neighborhood,ES
179,"609,925",KELLMAN,Neighborhood,ES
180,"610,513",AIR FORCE HS,Military academy,HS
181,"610,092",NASH,Neighborhood,ES
182,"610,011",JAMIESON,Neighborhood,ES
183,"610,139",PULLMAN,Neighborhood,ES
184,"609,709",GAGE PARK HS,Neighborhood,HS
185,"610,284",NEW FIELD,Neighborhood,ES
186,"610,082",MOUNT GREENWOOD,Neighborhood,ES
187,"609,869",LANGFORD,Neighborhood,ES
188,"609,789",BARRY,Neighborhood,ES
189,"610,131",PLAMONDON,Neighborhood,ES
190,"609,977",WOODLAWN,Small,ES
191,"400,168",GREAT LAKES,Charter,ES
192,"609,734",TAFT HS,Neighborhood,HS
193,"400,082",ACERO - FUENTES,Charter,ES
194,"610,207",VANDERPOEL,Magnet,ES
195,"609,676",DUNBAR HS,Career academy,HS
196,"610,212",ALBANY PARK,Neighborhood,MS
197,"609,945",GOUDY,Neighborhood,ES
198,"610,105",ORIOLE PARK,Neighborhood,ES
199,"400,049",LEGACY,Charter,ES
200,"610,063",MCCORMICK,Neighborhood,ES
201,"609,893",DORE,Neighborhood,ES
202,"400,011",LOCKE A,Charter,ES
203,"610,197",TALCOTT,Neighborhood,ES
204,"609,972",HAUGAN,Neighborhood,ES
205,"610,051",NORTHWEST,Neighborhood,MS
206,"610,126",PERSHING,Magnet,ES
207,"610,221",WEBSTER,Neighborhood,ES
208,"610,386",PEACE AND EDUCATION HS,Citywide-Option,HS
209,"400,034",CICS - NORTHTOWN HS,Charter,HS
210,"610,206",TWAIN,Neighborhood,ES
211,"609,981",HEARST,Neighborhood,ES
212,"610,120",PECK,Neighborhood,ES
213,"610,355",COURTENAY,Small,ES
214,"610,317",BRIGHTON PARK,Neighborhood,ES
215,"610,040",LLOYD,Neighborhood,ES
216,"610,141",RAVENSWOOD,Neighborhood,ES
217,"610,135",PORTAGE PARK,Neighborhood,ES
218,"400,046",LEARN - BUTLER,Charter,ES
219,"609,990",SOUTH LOOP,Regional gifted center,ES
220,"609,768",HOPE HS,Neighborhood,HS
221,"610,218",WARREN,Neighborhood,ES
222,"610,201",THORP O,Magnet,ES
223,"610,380",WILLIAMS HS,Small,HS
224,"400,181",ART IN MOTION,Charter,HS
225,"609,991",HERZL,Neighborhood,ES
226,"610,342",SABIN,Magnet,ES
227,"610,066",MCDADE,Classical,ES
228,"609,819",BURKE,Neighborhood,ES
229,"400,149",ACERO - SOTO HS,Charter,HS
230,"400,119",LEGAL PREP HS,Charter,HS
231,"609,726",BROOKS HS,Selective enrollment,HS
232,"610,199",COLEMON,Neighborhood,ES
233,"610,391",LINDBLOM HS,Selective enrollment,HS
234,"609,674",CHICAGO VOCATIONAL HS,Career academy,HS
235,"609,870",CORKERY,Neighborhood,ES
236,"610,396",TARKINGTON,Neighborhood,ES
237,"400,079",ACERO - ZIZUMBO,Charter,ES
238,"610,312",MCDOWELL,Neighborhood,ES
239,"400,178",MOVING EVEREST,Charter,ES
240,"400,163",KIPP - BLOOM,Charter,ES
241,"400,091",CHICAGO TECH HS,Contract,HS
242,"610,021",CASALS,Neighborhood,ES
243,"400,039",ERIE,Charter,ES
244,"610,145",REINBERG,Neighborhood,ES
245,"610,188",DUNNE,Neighborhood,ES
246,"609,973",ZAPATA,Neighborhood,ES
247,"400,172",ASPIRA - BUSINESS & FINANCE HS,Charter,HS
248,"400,127",YCCS - AUSTIN CAREER,Charter,HS
249,"610,299",KING ES,Neighborhood,ES
250,"609,738",LINCOLN PARK HS,Neighborhood,HS
251,"609,867",COOPER,Neighborhood,ES
252,"610,381",BRONZEVILLE HS,Small,HS
253,"400,022",CHIARTS HS,Contract,HS
254,"610,298",LENART,Regional gifted center,ES
255,"610,115",PARK MANOR,Neighborhood,ES
256,"610,385",MULTICULTURAL HS,Small,HS
257,"609,804",BOONE,Neighborhood,ES
258,"610,129",PICKARD,Neighborhood,ES
259,"400,151",LEARN - 7,Charter,ES
260,"610,032",GREEN,Neighborhood,ES
261,"610,030",KOZMINSKI,Neighborhood,ES
262,"610,128",GARVEY,Neighborhood,ES
263,"610,268",ASHE,Neighborhood,ES
264,"400,089",ACERO - MARQUEZ,Charter,ES
265,"610,096",NIGHTINGALE,Neighborhood,ES
266,"610,300",WESTCOTT,Neighborhood,ES
267,"400,135",YCCS - LATINO YOUTH,Charter,HS
268,"400,105",URBAN PREP - BRONZEVILLE HS,Charter,HS
269,"610,039",VON LINNE,Neighborhood,ES
270,"609,692",SIMEON HS,Career academy,HS
271,"609,773",AGASSIZ,Neighborhood,ES
272,"609,766",VAUGHN HS,Special Education,HS
273,"400,146",KIPP - ACADEMY,Charter,ES
274,"400,101",ACERO - CISNEROS,Charter,ES
275,"609,799",BELL,Regional gifted center,ES
276,"609,820",BURLEY,Neighborhood,ES
277,"609,755",YOUNG HS,Selective enrollment,HS
278,"610,230",WILDWOOD,Magnet,ES
279,"610,223",WENTWORTH,Neighborhood,ES
280,"609,693",WESTINGHOUSE HS,Selective enrollment,HS
281,"609,969",HARTE,Neighborhood,ES
282,"610,184",SPRY ES,Neighborhood,ES
283,"609,920",KANOON,Neighborhood,ES
284,"610,067",MCKAY,Neighborhood,ES
285,"400,069",POLARIS,Charter,ES
286,"400,131",YCCS - CAMPOS,Charter,HS
287,"610,179",SMYSER,Neighborhood,ES
288,"610,308",RUDOLPH,Special Education,ES
289,"609,745",SOUTHSIDE HS,Special Education,HS
290,"609,682",RICHARDS HS,Neighborhood,HS
291,"610,216",WALSH,Neighborhood,ES
292,"610,291",LEE,Neighborhood,ES
293,"609,861",CLISSOLD,Neighborhood,ES
294,"609,937",GARVY,Neighborhood,ES
295,"610,315",WHITE,Neighborhood,ES
296,"610,390",RICKOVER MILITARY HS,Military academy,HS
297,"609,772",ADDAMS,Neighborhood,ES
298,"610,138",PULASKI,Neighborhood,ES
299,"610,586",SADLOWSKI,Neighborhood,ES
300,"609,748",YORK HS,Citywide-Option,HS
301,"610,065",TILL,Neighborhood,ES
302,"609,887",DIXON,Neighborhood,ES
303,"610,518",AUSTIN CCA HS,Small,HS
304,"610,539",CAMRAS,Neighborhood,ES
305,"610,043",LOVETT,Neighborhood,ES
306,"610,209",VOLTA,Neighborhood,ES
307,"400,023",CICS - AVALON/SOUTH SHORE,Charter,ES
308,"610,345",WOODSON,Neighborhood,ES
309,"610,060",JACKSON A,Magnet,ES
310,"610,171",MIRELES,Neighborhood,ES
311,"609,720",LANE TECH HS,Selective enrollment,HS
312,"609,796",BEAUBIEN,Regional gifted center,ES
313,"400,111",LEARN - PERKINS,Charter,ES
314,"610,180",SMYTH,Magnet,ES
315,"610,290",MAYS,Neighborhood,ES
316,"610,263",DULLES,Neighborhood,ES
317,"609,857",CLEVELAND,Neighborhood,ES
318,"400,064",PERSPECTIVES - JOSLIN HS,Charter,HS
319,"610,227",WHITNEY,Neighborhood,ES
320,"610,163",STOCK,Neighborhood,ES
321,"610,547",SOUTH SHORE INTL HS,Selective enrollment,HS
322,"609,898",EBERHART,Neighborhood,ES
323,"609,751",KING HS,Selective enrollment,HS
324,"609,817",BUDLONG,Neighborhood,ES
325,"609,944",GRISSOM,Neighborhood,ES
326,"610,004",CULLEN,Neighborhood,ES
327,"610,213",WADSWORTH,Neighborhood,ES
328,"610,196",SWIFT,Neighborhood,ES
329,"610,295",HIGGINS,Neighborhood,ES
330,"610,185",STEVENSON,Neighborhood,ES
331,"610,123",PENN,Neighborhood,ES
332,"610,569",OMBUDSMAN - NORTHWEST HS,Citywide-Option,HS
333,"609,695",AMUNDSEN HS,Neighborhood,HS
334,"609,949",GRAY,Neighborhood,ES
335,"609,792",BATEMAN,Neighborhood,ES
336,"609,679",PROSSER HS,Career academy,HS
337,"609,694",HANCOCK HS,Selective enrollment,HS
338,"610,217",WARD J,Neighborhood,ES
339,"610,242",BRENNEMANN,Neighborhood,ES
340,"609,732",STEINMETZ HS,Neighborhood,HS
341,"610,220",WATERS,Neighborhood,ES
342,"610,304",PHOENIX MILITARY HS,Military academy,HS
343,"400,164",INSTITUTO - LOZANO HS,Charter,HS
344,"610,542",WEST RIDGE,Neighborhood,ES
345,"610,183",SPENCER,Neighborhood,ES
346,"610,178",SCHMID,Neighborhood,ES
347,"400,165",LEARN - MIDDLE,Charter,ES
348,"609,803",BLAINE,Neighborhood,ES
349,"609,879",DAWES,Neighborhood,ES
350,"610,226",SANDOVAL,Neighborhood,ES
351,"610,041",LOCKE J,Neighborhood,ES
352,"609,835",CAMERON,Neighborhood,ES
353,"400,017",ASPIRA - HAUGAN,Charter,MS
354,"400,133",YCCS - INNOVATIONS,Charter,HS
355,"400,033",CICS - LONGWOOD,Charter,HS
356,"610,192",STOWE,Neighborhood,ES
357,"609,737",VON STEUBEN HS,Magnet,HS
358,"610,175",SHOESMITH,Neighborhood,ES
359,"609,884",DEVER,Neighborhood,ES
360,"610,571",OMBUDSMAN - WEST HS,Citywide-Option,HS
361,"400,084",ACERO - TAMAYO,Charter,ES
362,"400,050",NAMASTE,Charter,ES
363,"610,038",LINCOLN,Neighborhood,ES
364,"609,872",PEREZ,Neighborhood,ES
365,"609,921",TELPOCHCALLI,Neighborhood,ES
366,"400,092",CICS - BOND,Charter,ES
367,"609,740",WELLS HS,Neighborhood,HS
368,"610,392",WORLD LANGUAGE HS,Small,HS
369,"610,167",SEWARD,Neighborhood,ES
370,"609,764",JUAREZ HS,Neighborhood,HS
371,"609,941",RANDOLPH,Magnet,ES
372,"610,234",YATES,Neighborhood,ES
373,"610,305",LELAND,Neighborhood,ES
374,"610,274",JOHNSON,Neighborhood,ES
375,"610,405",SUDER,Magnet,ES
376,"610,364",DUBOIS,Neighborhood,ES
377,"609,987",HENDRICKS,Neighborhood,ES
378,"400,086",URBAN PREP - ENGLEWOOD HS,Charter,HS
379,"400,180",KIPP - ONE,Charter,ES
380,"610,121",IRVING,Neighborhood,ES
381,"609,783",JEFFERSON HS,Citywide-Option,HS
382,"609,780",MARINE LEADERSHIP AT AMES HS,Military academy,HS
383,"400,044",KIPP - ASCEND,Charter,ES
384,"610,524",ALCOTT HS,Small,HS
385,"610,017",SAUCEDO,Magnet,ES
386,"400,112",ACERO - IDAR,Charter,ES
387,"609,894",DRAKE,Neighborhood,ES
388,"609,909",EVERETT,Neighborhood,ES
389,"610,036",LEWIS,Neighborhood,ES
390,"609,875",DARWIN,Neighborhood,ES
391,"609,924",FORT DEARBORN,Neighborhood,ES
392,"610,130",PIRIE,Neighborhood,ES
393,"609,774",ALCOTT ES,Neighborhood,ES
394,"609,848",ALDRIDGE,Neighborhood,ES
395,"610,003",CUFFE,Neighborhood,ES
396,"610,541",LORCA,Neighborhood,ES
397,"610,100",WEST PARK,Neighborhood,ES
398,"400,029",CICS - WASHINGTON PARK,Charter,ES
399,"609,947",GRAHAM ES,Neighborhood,ES
400,"609,959",HAINES,Neighborhood,ES
401,"609,865",JORDAN,Neighborhood,ES
402,"609,979",HEALY,Neighborhood,ES
403,"609,808",HALEY,Neighborhood,ES
404,"610,097",NIXON,Neighborhood,ES
405,"610,005",HUGHES C,Neighborhood,ES
406,"610,132",POE,Classical,ES
407,"610,101",OGDEN ES,Neighborhood,ES
408,"610,173",SHERWOOD,Neighborhood,ES
409,"610,084",KELLER,Regional gifted center,ES
410,"610,362",EVERS,Neighborhood,ES
411,"400,028",CICS - PRAIRIE,Charter,ES
412,"400,031",CICS - WRIGHTWOOD,Charter,ES
413,"610,182",SOLOMON,Neighborhood,ES
414,"400,083",ACERO - PAZ,Charter,ES
415,"400,161",CHICAGO COLLEGIATE,Charter,HS
416,"610,281",POWELL,Neighborhood,ES
417,"609,966",HAMMOND,Neighborhood,ES
418,"610,053",MARQUETTE,Neighborhood,ES
419,"610,357",SPRY HS,Neighborhood,HS
420,"400,043",HOPE LEARNING ACADEMY,Contract,ES
421,"609,715",KELLY HS,Neighborhood,HS
422,"400,128",YCCS - CCA ACADEMY,Charter,HS
423,"400,094",EPIC HS,Charter,HS
424,"400,027",CICS - IRVING PARK,Charter,ES
425,"610,325",AVONDALE-LOGANDALE,Neighborhood,ES
426,"400,030",CICS - WEST BELDEN,Charter,ES
427,"610,231",NATIONAL TEACHERS,Neighborhood,ES
428,"610,316",EARHART,Neighborhood,ES
429,"610,102",OGLESBY,Neighborhood,ES
430,"609,718",KENNEDY HS,Neighborhood,HS
431,"610,037",LIBBY,Neighborhood,ES
432,"400,026",CICS - LOOMIS,Charter,ES
433,"609,811",BRIGHT,Neighborhood,ES
434,"609,815",BOUCHET,Neighborhood,ES
435,"609,716",KELVYN PARK HS,Neighborhood,HS
436,"609,912",FARNSWORTH,Neighborhood,ES
437,"609,956",GRIMES,Neighborhood,ES
438,"609,971",HARVARD,Neighborhood,ES
439,"609,986",HENDERSON,Neighborhood,ES
440,"610,070",MCPHERSON,Neighborhood,ES
441,"610,228",WHITTIER,Neighborhood,ES
442,"610,235",YOUNG ES,Neighborhood,ES
443,"610,013",PILSEN,Neighborhood,ES
444,"610,520",LASALLE II,Magnet,ES
445,"400,125",YCCS - ASPIRA PANTOJA,Charter,HS
446,"400,013",ASPIRA - EARLY COLLEGE HS,Charter,HS
447,"610,144",REILLY,Neighborhood,ES
448,"610,565",CAMELOT - EXCEL ENGLEWOOD HS,Citywide-Option,HS
449,"610,106",PICCOLO,Neighborhood,ES
450,"400,066",PERSPECTIVES - MATH & SCI HS,Charter,HS
451,"400,175",CAMELOT - EXCEL SOUTHSHORE HS,Citywide-Option,HS
452,"609,935",GALLISTEL,Magnet,ES
453,"400,058",NORTH LAWNDALE - CHRISTIANA HS,Charter,HS
454,"610,573",CAMELOT - SAFE HS,Citywide-Option,HS
455,"610,339",STAGG,Neighborhood,ES
456,"400,147",CAMELOT - EXCEL HS,Citywide-Option,HS
457,"400,121",ACERO - DE LA CRUZ,Charter,ES
458,"610,572",CAMELOT - SAFE ES,Citywide-Option,ES
459,"400,059",NORTH LAWNDALE - COLLINS HS,Charter,HS
460,"610,059",MAYER,Magnet,ES
461,"610,248",CHICAGO ACADEMY ES,Small,ES
462,"609,929",FULTON,Neighborhood,ES
463,"610,016",KELLOGG,Neighborhood,ES
464,"400,171",FOUNDATIONS,Charter,HS
465,"610,237",BEETHOVEN,Neighborhood,ES
466,"610,271",JENSEN,Magnet,ES
467,"610,353",CALMECA,Small,ES
468,"610,191",STONE,Magnet,ES
469,"609,908",ESMOND,Neighborhood,ES
470,"610,127",PETERSON,Neighborhood,ES
471,"609,855",CHRISTOPHER,Neighborhood,ES
472,"610,137",PRUSSING,Neighborhood,ES
473,"610,110",WELLS ES,Small,ES
474,"609,974",HAWTHORNE,Magnet,ES
475,"610,250",SALAZAR,Small,ES
476,"610,195",SUTHERLAND,Neighborhood,ES
477,"610,143",REAVIS,Neighborhood,ES
478,"610,384",INFINITY HS,Small,HS
479,"609,900",CURTIS,Neighborhood,ES
480,"609,845",CARVER G,Neighborhood,ES
481,"610,107",OTIS,Neighborhood,ES
482,"610,383",SOCIAL JUSTICE HS,Small,HS
483,"400,176",CAMELOT - EXCEL SOUTHWEST HS,Citywide-Option,HS
484,"609,810",BRIDGE,Neighborhood,ES
485,"400,061",PERSPECTIVES - LEADERSHIP HS,Charter,HS
486,"610,503",FRAZIER PROSPECTIVE,Magnet,ES
487,"400,142",YCCS - VIRTUAL,Charter,HS
488,"400,062",PERSPECTIVES - TECH HS,Charter,HS
489,"609,955",GRESHAM,Neighborhood,ES
490,"610,215",MADERO,Neighborhood,MS
491,"609,983",HEDGES,Neighborhood,ES
492,"609,723",MARSHALL HS,Neighborhood,HS
493,"610,077",MORRILL,Neighborhood,ES
494,"609,788",BARNARD,Neighborhood,ES
495,"400,136",YCCS - OLIVE HARVEY,Charter,HS
496,"400,068",PLATO,Contract,ES
497,"609,821",BURNHAM,Neighborhood,ES
498,"609,885",DEWEY,Neighborhood,ES
499,"610,194",SUMNER,Neighborhood,ES
500,"609,904",ELLINGTON,Neighborhood,ES
501,"609,995",HITCH,Neighborhood,ES
502,"609,942",GOETHE,Neighborhood,ES
503,"400,153",ACERO - BRIGHTON PARK,Charter,ES
504,"400,120",ACERO - CLEMENTE,Charter,ES
505,"609,997",HOLMES,Neighborhood,ES
506,"610,015",JUNGMAN,Neighborhood,ES
507,"400,107",LEARN - SOUTH CHICAGO,Charter,ES
508,"610,354",NORTH RIVER,Small,ES
509,"610,155",SAUGANASH,Neighborhood,ES
510,"610,329",OROZCO,Neighborhood,ES
511,"610,088",MOZART,Neighborhood,ES
512,"400,159",CHRISTOPHER HOUSE,Charter,ES
513,"609,844",CARTER,Neighborhood,ES
514,"400,129",YCCS - PROGRESSIVE LEADERSHIP,Charter,HS
515,"610,010",JAHN,Neighborhood,ES
516,"610,125",RUIZ,Neighborhood,ES
517,"610,219",WASHINGTON G ES,Neighborhood,ES
518,"610,146",REVERE,Neighborhood,ES
519,"400,167",HORIZON - SOUTHWEST,Charter,ES
520,"610,090",MURRAY,Magnet,ES
521,"609,710",HARLAN HS,Neighborhood,HS
522,"610,334",RABY HS,Small,HS
523,"610,158",SAYRE,Neighborhood,ES
524,"610,352",DURKIN PARK,Neighborhood,ES
525,"609,712",HIRSCH HS,Neighborhood,HS
526,"610,543",SOLORIO HS,Neighborhood,HS
527,"609,927",FOSTER PARK,Neighborhood,ES
528,"610,533",PRIETO,Neighborhood,ES
529,"609,963",HAMILTON,Neighborhood,ES
530,"610,389",ORR HS,Neighborhood,HS
531,"609,791",BASS,Neighborhood,ES
532,"610,350",BLACK,Magnet,ES
533,"609,754",CHICAGO MILITARY HS,Military academy,HS
534,"609,779",ARMSTRONG G,Neighborhood,ES
535,"609,842",CARSON,Neighborhood,ES
536,"610,347",CLAREMONT,Neighborhood,ES
537,"609,782",AUDUBON,Neighborhood,ES
538,"609,753",CHICAGO AGRICULTURE HS,Magnet,HS
539,"609,806",BRADWELL,Neighborhood,ES
540,"609,852",CHAPPELL,Neighborhood,ES
541,"609,827",BURNSIDE,Magnet,ES
542,"609,832",BYRNE,Neighborhood,ES
543,"609,777",ARMOUR,Neighborhood,ES
544,"609,797",BEIDLER,Neighborhood,ES
545,"610,246",BEASLEY,Regional gifted center,ES
546,"609,812",BROWN W,Neighborhood,ES
547,"609,760",CARVER MILITARY HS,Military academy,HS
548,"610,153",RYDER,Neighborhood,ES
549,"609,828",BURR,Neighborhood,ES
550,"610,287",ASHBURN,Small,ES
551,"610,563",BACK OF THE YARDS HS,Neighborhood,HS
552,"609,795",CLARK ES,Neighborhood,ES
553,"609,698",BOGAN HS,Neighborhood,HS
554,"609,851",CHALMERS,Neighborhood,ES
555,"609,786",AVALON PARK,Neighborhood,ES
